"anatomy_group","p_cells_Excitatory_projection","p_cells_Inhibitory_interneuron","p_cells_Inhibitory_projection_MSN","p_cells_Miscellaneous","p_cells_Splatter","rcmr_value","is_telencephalon","division"
"Cerebellar cortex",0.959008821693237,0.0408866031433646,0,5.22875816993464e-05,5.22875816993464e-05,29.8,FALSE,"Non-telencephalon"
"Colliculus inferior",0.291466567311294,0.0971506088932144,0,6.45807845174324e-05,0.611318243010974,31.4,FALSE,"Non-telencephalon"
"Colliculus superior",0.0106494614288491,0.23071911458315,0,0.0379112075314898,0.720720216456511,24.4,FALSE,"Non-telencephalon"
"Corpus geniculatum laterale",0.588726800215815,0.31944177096223,9.83418107872045e-05,0.000182553332567593,0.0915505336785998,23.1,FALSE,"Non-telencephalon"
"Corpus geniculatum mediale",0.248929003752647,0.630794931366917,0,0.00176006758659533,0.118515997293841,20.2,FALSE,"Non-telencephalon"
"Nucleus dentatus cerebelli",0.803544837722614,0.0771953181708398,3.67674093683359e-05,0,0.119223076697178,24.2,FALSE,"Non-telencephalon"
"Nucleus medial thalami",0.36438249085504,0.582502892753896,3.59040643400833e-05,0,0.0530787123267237,36.6,FALSE,"Non-telencephalon"
"Nucleus ruber",0.00693240901213172,0.874061236279607,0,0,0.119006354708261,31,FALSE,"Non-telencephalon"
"Nucleus subthalamicus",0.0307668924787216,0.360865033871808,0,0,0.60836807364947,25.2,FALSE,"Non-telencephalon"
"Substantia nigra",0.179704416651561,0.360183828686979,0.000235626767200754,9.63391136801542e-05,0.459779788780579,22.8,FALSE,"Non-telencephalon"
"Vermis",0.848917692904145,0.150887216073827,0,0.00013097735643529,6.41136655927509e-05,30.1,FALSE,"Non-telencephalon"
