"step","script","result","seconds","message"
1,"0_Heiss_Stephan_and_table1_30052026.R","OK",0.8,""
2,"traits_neocortex_grey_white.R","OK",0.5,""
3,"s1a_1_stereology_cell_types_30052026.R","OK",2.8,""
4,"s1a_2_stereology_proportions_30052026.R","OK",1.8,""
5,"s1b_1_extract_transcriptomic_30052026.R","OK",293.5,""
6,"s1b_2_mapping_rcmrglc_transcriptomic_cells_anatomy_21052026.R","OK",45.3,""
7,"s1b_2_check_dissection_roi.R","OK",11.7,""
8,"s1b_3_n_transcriptomic_neuronal_25052026.R","OK",9.7,""
9,"s1b_3_n_transcriptomic_neuronal_telencephalon_25052026.R","OK",13.2,""
10,"s1b_3_nn_transcriptomic_nonneuronal_25052026.R","OK",4.1,""
11,"s1b_3_nn_transcriptomic_nonneuronal_telencephalon_25052026.R","OK",11.3,""
12,"s1b_4_n_supercluster_rcmr_correlation_matrix_telencephalon_13062026.R","OK",19,""
13,"s1b_5_n_EI_ratio_original_vs_jorstad_overlay_two_MSN_plots_raw_EI_only_16062026.R","OK",28,""
14,"s1b_6_nn_type1_type2_astrocyte_compositional_rcmr_26052026.R","OK",12,""
15,"s1c_synaptic_density_metabolic_rate.R","OK",1.5,""
16,"s2_stress_volume_01062026.R","OK",1.8,""
17,"s3_predicValuesPGLS_16062026_2deg_neocortex_cerebellum_blue_square_UPDATED_MU_PLOTS_1_PATCHED.R","OK",26,""
18,"s3_predicValuesPGLS_16062026_2deg_neocortex_cerebellum_blue_square_VOLUMES_WIDE_SELECT.R","OK",23.2,""
19,"s4a_endocranial.R","OK",1.6,""
20,"s4a_endocranial_cerebellum.R","OK",0.3,""
21,"s4b_arterial_canal.R","OK",0.1,""
22,"network_residual_autocorrelation_analysis.R","OK",3.9,""
23,"qc_stephan/build_stephan_primates_reference_sheet.R","OK",48.5,""
24,"qc_stephan/compare_stephan_vs_volumes_wide_merged_v3.R","FAILED",0,"compare_stephan_vs_volumes_wide_merged_v3.R is superseded.
  Run instead : scripts/qc_stephan/compare_stephan.R
  Original at : scripts/archive/compare_stephan_vs_volumes_wide_merged_v3.R"
25,"qc_stephan/compare_stephan.R","OK",0.2,""
