Species,Species_evo,Stephan_column,EvoM1_variable,Stephan_value,status,preferred_reference,preferred_citation,all_matching_sources,n_candidate_sources,metadata_reference,unit_rescale_flag,merge_deviation_flag,closest_nonmatching
Alouatta_caraya,Alouatta caraya,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,42,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA
Alouatta_caraya,Alouatta caraya,Body_mass,Body_Mass.g,6420,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA
Alouatta_caraya,Alouatta caraya,Body_weight,Body_Mass.g,6420,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA
Alouatta_caraya,Alouatta caraya,Brain_mass,Brain_Mass.mg,55800,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,1000,,NA
Alouatta_caraya,Alouatta caraya,Brain_volume,NA,53861,metadata_only,NA,NA,,0,Bauernfeind et al 2013,,,NA
Alouatta_caraya,Alouatta caraya,Brain_weight,Brain_Mass.mg,55800,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,1000,,NA
Alouatta_caraya,Alouatta caraya,Dysgranular_volume_L,Dysgranular_insular_cortex_left_Vol.mm3,141,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA
Alouatta_caraya,Alouatta caraya,Granular_volume_L,Granular_insular_cortex_left_Vol.mm3,89,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA
Alouatta_caraya,Alouatta caraya,Total_insula_volume_L,Insula_left_Vol.mm3,272,resolved_unique,Bauernfeind_etal_2013_Table1,Bauernfeind et al. 2013 (J Hum Evol 64:263-279),Bauernfeind_etal_2013_Table1,1,Bauernfeind et al 2013,,,NA
Alouatta_seniculus,Alouatta seniculus,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,1918,matched_outside_metadata,deSousa_etal_2010,de Sousa et al. 2010 (J Hum Evol 58:281-292),Frahm_etal_1984_Table1; Frahm_etal_1998_Table1,2,de Sousa et al 2010,,,Evo-M1 value matches Frahm_etal_1984_Table1; Frahm_etal_1998_Table1 (not the metadata source); attributed to metadata source; see source_hunt
Alouatta_seniculus,Alouatta seniculus,Amygdala,Amygdala_Vol.mm3,413,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,2,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA
Alouatta_seniculus,Alouatta seniculus,Body_weight,Body_Mass.g,6400,resolved_multiple,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1970_Table3; Stephan_etal_1981_TableIII,6,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA
Alouatta_seniculus,Alouatta seniculus,Body_weight_1985a,Body_Mass.g,6400,resolved_multiple,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Stephan_etal_1970_Table3; Stephan_etal_1981_TableIII,6,NA,,,NA
Alouatta_seniculus,Alouatta seniculus,Brain_weight,Brain_Mass.mg,52000,resolved_multiple,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Frahm_etal_1998_Table1; Stephan_etal_1981_TableIII,3,Stephan et al 1981; Zilles and Rehkamper 1988; Bauernfeind et al 2013,,,NA
Alouatta_seniculus,Alouatta seniculus,Brainvol,NA,50193.05,metadata_only,NA,NA,,0,de Sousa et al 2010; Stephan et al 1981,,,NA
Alouatta_seniculus,Alouatta seniculus,Bulbus_olfactorius,Bulbus_olfactorius_Vol.mm3,41.4,resolved_multiple,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Baron_etal_1983_Table1; Baron_etal_1987_Table1; Stephan_etal_1981_TableVI,4,Stephan et al 1981,,,NA
Alouatta_seniculus,Alouatta seniculus,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius_Vol.mm3,0.6,resolved_unique,Stephan_etal_1981_TableVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableVI,1,Stephan et al 1981,,,NA
Alouatta_seniculus,Alouatta seniculus,Cerebellar_nuclei_total,Cerebellar_nuclei_total_Vol.mm3,113.79,resolved_unique,Matano_etal_1985_a_Table1,Matano et al. 1985 (Folia Primatol 44:182-203),Matano_etal_1985_a_Table1,1,NA,,,NA
Alouatta_seniculus,Alouatta seniculus,Cerebellum,Cerebellum_Vol.mm3,5699,resolved_unique,Stephan_etal_1981_TableIII,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableIII,3,Stephan et al 1981; Zilles and Rehkamper 1988,,,NA
Alouatta_seniculus,Alouatta seniculus,Complexus_centromedialis,Complexus_centromedialis_Vol.mm3,94.9,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,2,Stephan et al 1981,,,NA
Alouatta_seniculus,Alouatta seniculus,Complexus_cortico_basolateralis,Complexus_corticobasolateralis_Vol.mm3,318,resolved_unique,Stephan_etal_1981_TableXI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXI,2,Stephan et al 1981,,,NA
Alouatta_seniculus,Alouatta seniculus,Corpus.pineale,Corpus_pineal_Vol.mm3,0.25,resolved_unique,Stephan_etal_1981_TableXVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXVI,1,Stephan et al 1981,,,NA
Alouatta_seniculus,Alouatta seniculus,Corpus.subcommissurale,Corpus_subcommissurale_Vol.mm3,0.4,resolved_unique,Stephan_etal_1981_TableXVI,"Stephan, Frahm & Baron 1981 (Folia Primatol 35:1-29)",Stephan_etal_1981_TableXVI,1,Stephan et al 1981,,,NA
